ID,Geography,MALE_TTL,NO DIPLOMA,DIPLOMA,BACHELORS,GRADUATE,FEMALE_TTL,POP_TTL,MILS,GENX,BOOMERS,SILENTS,CLINTON,TRUMP,WINNER,TOTALVOTES
48201,"Harris County, Texas",1560100,643874,769351,551793,291540,1605979,4356362,1319978,906123,971469,156829,54,42,CLINTON,1312112
48203,"Harrison County, Texas",23888,7795,16898,6336,2263,25706,66417,16870,12154,19261,4184,27,71,TRUMP,26548
48205,"Hartley County, Texas",3081,940,1711,751,240,1747,6121,1561,1579,1524,392,9,89,TRUMP,1952
48207,"Haskell County, Texas",2729,1343,1579,451,195,2092,5853,1493,989,1820,691,18,79,TRUMP,1770
48209,"Hays County, Texas",66716,13629,28087,28593,11480,68572,177562,63035,33382,39951,6215,46,47,TRUMP,72164
48211,"Hemphill County, Texas",1412,512,709,555,114,1394,4115,934,757,1029,267,11,86,TRUMP,1695
48213,"Henderson County, Texas",29522,10824,21946,6527,2735,31921,79016,17779,13828,26312,6637,19,79,TRUMP,30045
48215,"Hidalgo County, Texas",258500,191370,131132,57995,22147,283363,819217,244127,153194,152374,36865,69,28,CLINTON,173437
48217,"Hill County, Texas",12954,5447,8871,2434,1178,13654,34923,8067,5972,11140,2829,20,78,TRUMP,12970
48219,"Hockley County, Texas",8325,3556,4399,1655,637,8779,23322,6903,3871,5924,1353,17,79,TRUMP,7311
48221,"Hood County, Texas",20385,5196,12261,6677,3205,21660,53171,11166,8773,18716,5370,15,81,TRUMP,26262
48223,"Hopkins County, Texas",12947,4575,10047,2564,1353,13691,35645,8555,6594,10266,2709,19,79,TRUMP,13538
48225,"Houston County, Texas",9976,3403,6901,1877,614,8494,22949,5003,4567,7527,2157,24,74,TRUMP,8353
48227,"Howard County, Texas",16316,6100,8741,2406,858,11755,36105,10254,7329,9604,2094,20,76,TRUMP,8723
48229,"Hudspeth County, Texas",1256,1149,625,147,41,1206,3330,852,626,956,200,37,58,TRUMP,871
48231,"Hunt County, Texas",32523,10945,23122,7200,3734,34227,88052,23070,16466,25535,5459,20,76,TRUMP,31554
48233,"Hutchinson County, Texas",8048,2641,5144,1570,618,8051,21858,5508,3934,6208,1464,10,86,TRUMP,8155
48235,"Irion County, Texas",632,157,445,118,47,636,1644,353,268,575,123,12,86,TRUMP,766
48237,"Jack County, Texas",4150,1541,2905,445,240,2939,8946,2594,1655,2737,581,9,89,TRUMP,3350
48239,"Jackson County, Texas",5266,2062,3779,1394,366,5485,14486,3462,2448,4389,1072,17,80,TRUMP,5302
48241,"Jasper County, Texas",13002,4404,11794,1703,624,13880,35768,7976,6510,11088,2647,19,79,TRUMP,13419
48243,"Jeff Davis County, Texas",886,381,412,333,317,968,2232,304,373,1114,147,35,58,TRUMP,1191
48245,"Jefferson County, Texas",98863,32760,64654,23119,9065,93933,252872,72827,47793,66758,15678,48,49,TRUMP,87618
48247,"Jim Hogg County, Texas",1904,1117,1120,313,121,1958,5239,1331,765,1656,335,77,20,CLINTON,2119
48249,"Jim Wells County, Texas",14403,8857,10189,2071,939,15332,41461,11277,7214,10697,2488,54,44,CLINTON,12379
48251,"Johnson County, Texas",56550,19479,36959,13092,4990,57663,155450,40262,31401,42282,7617,19,77,TRUMP,57606
48253,"Jones County, Texas",10818,4439,6450,1082,356,5605,19978,5993,4495,5374,1199,16,81,TRUMP,5960
48255,"Karnes County, Texas",7197,3253,4235,1070,304,4552,14879,4657,2797,3705,1071,27,71,TRUMP,4198
48257,"Kaufman County, Texas",38145,12806,25195,9422,4248,40583,109289,28087,22841,28306,4699,25,72,TRUMP,41265
48259,"Kendall County, Texas",13548,2933,6379,6954,3618,14971,37361,7808,7211,12366,2952,18,78,TRUMP,20120
48261,"Kenedy County, Texas",213,116,140,31,19,161,565,146,84,142,19,53,45,CLINTON,186
48263,"Kent County, Texas",328,142,171,98,58,334,821,140,131,304,95,14,83,TRUMP,434
48265,"Kerr County, Texas",19122,5324,11746,6703,3493,21247,50149,10882,7472,17652,6269,20,76,TRUMP,23297
48267,"Kimble County, Texas",1831,631,1339,472,151,1922,4486,790,641,1907,534,11,87,TRUMP,1952
48269,"King County, Texas",127,48,90,33,15,102,267,76,53,91,22,3,94,TRUMP,159
48271,"Kinney County, Texas",1696,949,839,296,38,1206,3577,876,615,1238,254,32,65,TRUMP,1430
48273,"Kleberg County, Texas",12324,5386,4693,3711,1560,11772,32029,12171,4708,6950,1698,50,46,CLINTON,9512
48275,"Knox County, Texas",1393,540,1051,309,79,1424,3796,854,623,1078,421,18,79,TRUMP,1367
48277,"Lamar County, Texas",18043,6039,12556,3785,1820,19800,49566,12243,9170,14771,3767,19,78,TRUMP,18611
48279,"Lamb County, Texas",4776,2562,2987,1010,419,5015,13742,3436,2350,3518,1141,19,78,TRUMP,3995
48281,"Lampasas County, Texas",7513,2205,4134,1961,950,7798,20219,4650,3882,6308,1415,18,78,TRUMP,8205
48283,"La Salle County, Texas",3043,1906,1678,461,216,2068,7191,2244,1244,1596,388,55,42,CLINTON,2059
48285,"Lavaca County, Texas",7242,2776,6123,1651,558,7752,19549,4027,3186,6412,2131,14,85,TRUMP,8661
48287,"Lee County, Texas",6381,2338,4938,1400,548,6361,16664,4066,3083,5316,1166,21,76,TRUMP,6535
48289,"Leon County, Texas",6433,2171,4784,1431,618,6587,16819,3431,2809,5954,1514,12,86,TRUMP,7439
48291,"Liberty County, Texas",28199,13789,22150,3431,1472,29887,77486,21154,15420,21154,3642,20,78,TRUMP,24267
48293,"Limestone County, Texas",9253,3688,6594,1605,622,8750,23454,5981,4245,7013,1712,23,75,TRUMP,7739
48295,"Lipscomb County, Texas",1338,460,944,319,98,1224,3483,1027,575,902,226,10,87,TRUMP,1332
48297,"Live Oak County, Texas",5167,1898,3451,861,248,4250,11873,2897,2244,3764,1021,17,81,TRUMP,4302
48299,"Llano County, Texas",7825,2024,4577,2992,1249,8419,19323,2918,2493,8502,2860,17,79,TRUMP,10447
48301,"Loving County, Texas",71,21,60,2,0,40,117,25,25,61,0,6,89,TRUMP,65
48303,"Lubbock County, Texas",107906,30670,53610,34226,17573,112532,290782,103809,47688,64844,14830,28,66,TRUMP,99013
48305,"Lynn County, Texas",2120,917,1393,487,151,2091,5764,1355,1020,1660,427,20,77,TRUMP,2009
48307,"McCulloch County, Texas",3036,1362,2088,638,285,3266,8273,1770,1398,2780,711,16,82,TRUMP,3103
48309,"McLennan County, Texas",86734,28470,49514,24254,11234,94547,241505,76799,41056,58927,14490,34,61,TRUMP,79075
48311,"McMullen County, Texas",315,139,172,48,39,286,778,187,128,210,104,8,91,TRUMP,499
48313,"Madison County, Texas",7554,3070,4236,783,273,4030,13838,5023,2712,3321,913,21,78,TRUMP,4289
48315,"Marion County, Texas",4034,1406,3159,712,439,4372,10248,1978,1804,3945,1004,27,70,TRUMP,4238
48317,"Martin County, Texas",1821,856,1284,422,139,1848,5252,1408,940,1334,226,15,83,TRUMP,1762
48319,"Mason County, Texas",1765,538,1165,466,219,1547,4066,850,602,1647,411,17,81,TRUMP,2057
48321,"Matagorda County, Texas",13294,6085,10059,2870,842,13849,36598,9369,6148,10723,2415,29,69,TRUMP,12196
48323,"Maverick County, Texas",18613,14673,9244,2566,958,19668,56548,16625,10235,11988,2714,77,21,CLINTON,13588
48325,"Medina County, Texas",18582,6887,11479,4197,1798,17252,47392,12275,8862,13933,2938,27,70,TRUMP,17246
48327,"Menard County, Texas",784,379,537,137,133,872,2182,380,329,788,223,18,79,TRUMP,864
48329,"Midland County, Texas",53945,18838,28006,18144,7005,55653,151290,46597,26627,35402,7413,20,75,TRUMP,49212
48331,"Milam County, Texas",8817,3617,6924,2092,701,9387,24344,5526,4138,7620,2069,24,73,TRUMP,8664
48333,"Mills County, Texas",1642,643,962,518,247,1980,4875,853,839,1589,566,11,87,TRUMP,2245
48335,"Mitchell County, Texas",4712,2114,2470,563,153,2723,9169,3053,1825,2283,568,16,81,TRUMP,2196
48337,"Montague County, Texas",7349,2689,5199,1601,605,7662,19478,4246,3233,6467,1850,10,87,TRUMP,8604
48339,"Montgomery County, Texas",179574,53018,92813,73489,34253,187433,502586,128662,105543,134190,21611,22,73,TRUMP,204632
48341,"Moore County, Texas",7799,5342,4058,1251,334,7410,22281,6439,4144,4657,914,21,75,TRUMP,5284
48343,"Morris County, Texas",4621,1749,3351,839,454,5195,12700,2870,2210,3912,1295,29,69,TRUMP,4973
48345,"Motley County, Texas",489,144,268,105,18,377,1071,312,175,311,124,7,92,TRUMP,615
48347,"Nacogdoches County, Texas",23510,7870,12559,6120,3875,26652,65531,23329,9961,15662,3604,30,65,TRUMP,22622
48349,"Navarro County, Texas",17160,7999,11059,3451,1535,18305,48118,11885,8998,13666,3080,24,73,TRUMP,16433
48351,"Newton County, Texas",5789,1593,5412,475,178,5324,14231,3501,2789,4412,968,21,77,TRUMP,5534
48353,"Nolan County, Texas",5572,2348,4185,913,319,5726,15061,3765,2681,4307,1115,21,73,TRUMP,4857
48355,"Nueces County, Texas",127821,49368,76002,32080,16493,134859,352060,102097,64427,91888,19715,47,49,TRUMP,104405
48357,"Ochiltree County, Texas",3672,1878,2209,673,292,3601,10642,2863,2128,2309,458,9,88,TRUMP,3002
48359,"Oldham County, Texas",665,248,313,236,88,698,2071,621,273,570,130,8,90,TRUMP,948
48361,"Orange County, Texas",30729,7462,25249,5903,2326,31908,83217,21220,15894,24050,5243,18,80,TRUMP,32000
48363,"Palo Pinto County, Texas",10283,4048,8125,2037,978,10914,27921,6506,4886,8879,2038,17,81,TRUMP,10270
48365,"Panola County, Texas",8833,3071,5719,1505,624,9287,23900,5927,4206,7098,1745,18,81,TRUMP,10416
48367,"Parker County, Texas",45548,10651,25444,15457,6509,45948,121418,29383,24284,36911,6435,15,82,TRUMP,56817
48369,"Parmer County, Texas",3621,2216,2247,713,280,3418,10004,2761,1811,2391,550,20,78,TRUMP,2466
48371,"Pecos County, Texas",7124,3682,4209,802,357,4883,15807,4458,3177,3999,869,37,59,TRUMP,4185
48373,"Polk County, Texas",19795,7675,13717,2762,1398,16776,46113,10514,8531,15863,3274,21,76,TRUMP,19852
48375,"Potter County, Texas",45594,20852,25350,8335,3516,42917,122352,35482,23247,28386,6362,27,69,TRUMP,28651
48377,"Presidio County, Texas",2540,2312,954,688,578,2723,7304,1366,1541,2031,628,66,30,CLINTON,2208
48379,"Rains County, Texas",4379,1521,3447,602,261,4369,11037,2174,1909,4106,993,13,84,TRUMP,4701
48381,"Randall County, Texas",46183,8294,21537,17652,8264,49518,126782,36894,23201,33470,7100,15,80,TRUMP,54305
48383,"Reagan County, Texas",1402,772,1031,207,57,1220,3598,939,698,964,201,18,78,TRUMP,904
48385,"Real County, Texas",1332,569,739,396,149,1361,3356,571,497,1232,574,16,82,TRUMP,1681
48387,"Red River County, Texas",4787,2043,3920,949,252,5217,12567,2802,2187,4361,1118,22,76,TRUMP,5161
48389,"Reeves County, Texas",6433,4204,3192,808,220,4601,14179,4310,3048,3332,893,52,45,CLINTON,3184
48391,"Refugio County, Texas",2749,1142,1961,313,185,2841,7277,1630,1259,2321,684,35,62,TRUMP,2948
48393,"Roberts County, Texas",301,21,212,162,41,348,931,193,151,297,62,4,95,TRUMP,554
48395,"Robertson County, Texas",6078,2494,4674,1333,475,6384,16532,3868,2860,5075,1356,31,66,TRUMP,7035
48397,"Rockwall County, Texas",29718,5502,14605,14445,6481,31678,85536,20871,19588,21812,3678,24,71,TRUMP,39948
48399,"Runnels County, Texas",3886,1629,3137,989,295,4023,10445,2361,1744,3311,1003,12,86,TRUMP,3782
48401,"Rusk County, Texas",21870,8251,13888,3698,1393,19186,53457,14006,10264,15289,3475,21,77,TRUMP,18994
48403,"Sabine County, Texas",4062,1256,3705,587,326,4214,10440,1900,1503,4040,1253,13,86,TRUMP,4651
48405,"San Augustine County, Texas",3334,1374,3053,448,238,3578,8695,1704,1356,3174,930,25,73,TRUMP,3569
48407,"San Jacinto County, Texas",10303,4198,9367,1511,607,10496,27023,5648,4567,9674,1973,20,78,TRUMP,10343
48409,"San Patricio County, Texas",23637,10806,15405,4486,1974,24334,66070,17773,12157,17442,3832,36,60,TRUMP,21656
48411,"San Saba County, Texas",2505,1055,1431,475,174,2178,5893,1497,1014,1862,554,12,86,TRUMP,2357
48413,"Schleicher County, Texas",1132,473,615,305,101,1142,3224,777,567,887,174,20,78,TRUMP,1059
48415,"Scurry County, Texas",7085,2408,4050,1209,586,5794,17238,4792,3310,4413,1086,14,83,TRUMP,5289
48417,"Shackelford County, Texas",1237,360,928,427,95,1320,3352,707,610,1083,298,7,92,TRUMP,1504
48419,"Shelby County, Texas",9192,4406,6612,1775,861,9642,25725,6380,4605,7229,1749,19,79,TRUMP,9086
48421,"Sherman County, Texas",1162,588,644,337,93,1116,3066,711,702,806,178,10,86,TRUMP,935
48423,"Smith County, Texas",77248,25251,42349,25906,11126,85769,217552,60697,39159,57869,14576,26,70,TRUMP,84768
48425,"Somervell County, Texas",3160,1178,1775,986,401,3370,8608,1971,1687,2686,611,14,82,TRUMP,3897
48427,"Starr County, Texas",19960,20317,10013,2562,869,21825,62648,18481,11339,12342,2944,79,19,CLINTON,11740
48429,"Stephens County, Texas",3847,1530,2551,908,316,3452,9452,2420,1597,2911,756,10,88,TRUMP,3461
48431,"Sterling County, Texas",463,205,289,139,56,488,1346,288,214,421,70,11,87,TRUMP,633
48433,"Stonewall County, Texas",492,200,383,115,43,531,1414,194,214,530,160,19,79,TRUMP,701
48435,"Sutton County, Texas",1457,717,830,410,100,1372,3966,1039,706,1027,258,22,76,TRUMP,1416
48437,"Swisher County, Texas",3082,1237,2145,553,236,2652,7713,2083,1172,2121,671,21,76,TRUMP,2204
48439,"Tarrant County, Texas",671349,209462,345071,263793,118400,720653,1914526,545640,400136,447999,76581,43,52,TRUMP,668514
48441,"Taylor County, Texas",48939,13104,29982,14846,6495,52534,134435,44364,21375,32399,8604,22,73,TRUMP,45759
48443,"Terrell County, Texas",375,145,274,70,58,380,921,137,215,286,144,32,66,TRUMP,438
48445,"Terry County, Texas",5051,2921,2766,732,312,4254,12687,3527,2220,3222,837,22,73,TRUMP,3355
48447,"Throckmorton County, Texas",586,174,401,201,53,634,1545,307,235,552,216,10,88,TRUMP,808
48449,"Titus County, Texas",11294,5983,7119,2020,1011,11720,32553,8822,6218,7813,1725,28,69,TRUMP,9419
48451,"Tom Green County, Texas",43159,13889,27471,11860,5462,44927,115056,36703,18409,29684,7479,24,71,TRUMP,38479
48453,"Travis County, Texas",431710,104894,152589,232424,125178,429390,1121645,376873,249005,237789,37014,66,27,CLINTON,468720
48455,"Trinity County, Texas",5513,1972,4785,885,312,5988,14405,2766,2348,5243,1657,19,79,TRUMP,5985
48457,"Tyler County, Texas",9402,3080,7174,1198,524,7814,21462,5387,3885,6803,1846,16,83,TRUMP,8016
48459,"Upshur County, Texas",14686,5302,10031,2861,1105,15627,40096,9503,7177,12630,2686,15,82,TRUMP,16013
48461,"Upton County, Texas",1173,551,936,146,70,1165,3405,913,558,817,204,21,75,TRUMP,1347
48463,"Uvalde County, Texas",9416,5227,4899,2006,659,9970,26952,7385,4582,6819,1914,43,54,TRUMP,8964
