Id2,Geography,POP_TTL,mils,genX,boomers,silents
48375,"Potter County, Texas",122352,35482,23247,28386,6362
48377,"Presidio County, Texas",7304,1366,1541,2031,628
48379,"Rains County, Texas",11037,2174,1909,4106,993
48381,"Randall County, Texas",126782,36894,23201,33470,7100
48383,"Reagan County, Texas",3598,939,698,964,201
48385,"Real County, Texas",3356,571,497,1232,574
48387,"Red River County, Texas",12567,2802,2187,4361,1118
48389,"Reeves County, Texas",14179,4310,3048,3332,893
48391,"Refugio County, Texas",7277,1630,1259,2321,684
48393,"Roberts County, Texas",931,193,151,297,62
48395,"Robertson County, Texas",16532,3868,2860,5075,1356
48397,"Rockwall County, Texas",85536,20871,19588,21812,3678
48399,"Runnels County, Texas",10445,2361,1744,3311,1003
48401,"Rusk County, Texas",53457,14006,10264,15289,3475
48403,"Sabine County, Texas",10440,1900,1503,4040,1253
48405,"San Augustine County, Texas",8695,1704,1356,3174,930
48407,"San Jacinto County, Texas",27023,5648,4567,9674,1973
48409,"San Patricio County, Texas",66070,17773,12157,17442,3832
48411,"San Saba County, Texas",5893,1497,1014,1862,554
48413,"Schleicher County, Texas",3224,777,567,887,174
48415,"Scurry County, Texas",17238,4792,3310,4413,1086
48417,"Shackelford County, Texas",3352,707,610,1083,298
48419,"Shelby County, Texas",25725,6380,4605,7229,1749
48421,"Sherman County, Texas",3066,711,702,806,178
48423,"Smith County, Texas",217552,60697,39159,57869,14576
48425,"Somervell County, Texas",8608,1971,1687,2686,611
48427,"Starr County, Texas",62648,18481,11339,12342,2944
48429,"Stephens County, Texas",9452,2420,1597,2911,756
48431,"Sterling County, Texas",1346,288,214,421,70
48433,"Stonewall County, Texas",1414,194,214,530,160
48435,"Sutton County, Texas",3966,1039,706,1027,258
48437,"Swisher County, Texas",7713,2083,1172,2121,671
48439,"Tarrant County, Texas",1914526,545640,400136,447999,76581
48441,"Taylor County, Texas",134435,44364,21375,32399,8604
48443,"Terrell County, Texas",921,137,215,286,144
48445,"Terry County, Texas",12687,3527,2220,3222,837
48447,"Throckmorton County, Texas",1545,307,235,552,216
48449,"Titus County, Texas",32553,8822,6218,7813,1725
48451,"Tom Green County, Texas",115056,36703,18409,29684,7479
48453,"Travis County, Texas",1121645,376873,249005,237789,37014
48455,"Trinity County, Texas",14405,2766,2348,5243,1657
48457,"Tyler County, Texas",21462,5387,3885,6803,1846
48459,"Upshur County, Texas",40096,9503,7177,12630,2686
48461,"Upton County, Texas",3405,913,558,817,204
48463,"Uvalde County, Texas",26952,7385,4582,6819,1914
48465,"Val Verde County, Texas",48980,14400,8669,11021,2890
48467,"Van Zandt County, Texas",52736,11444,9651,17297,4324
48469,"Victoria County, Texas",90099,24417,15857,24417,5676
48471,"Walker County, Texas",69330,25791,14282,17055,3259
48473,"Waller County, Texas",45847,16413,7336,11049,1880
48475,"Ward County, Texas",11225,2997,1998,2840,752
48477,"Washington County, Texas",34236,8662,5683,10647,3081
48479,"Webb County, Texas",263251,80028,50544,47385,9214
48481,"Wharton County, Texas",41264,10646,7180,11554,2971
48483,"Wheeler County, Texas",5618,1270,961,1747,410
48485,"Wichita County, Texas",131957,42490,22433,33253,8577
48487,"Wilbarger County, Texas",13158,3421,2250,3882,974
48489,"Willacy County, Texas",22002,7107,4202,4840,1188
48491,"Williamson County, Texas",473592,125028,111768,108926,18470
48493,"Wilson County, Texas",45509,10649,9147,13835,2594
48495,"Winkler County, Texas",7576,2068,1439,1826,356
48497,"Wise County, Texas",61243,15250,11942,18005,3246
48499,"Wood County, Texas",42712,8713,6663,15803,4613
48501,"Yoakum County, Texas",8213,2053,1643,1864,394
48503,"Young County, Texas",18329,3996,3098,5865,1668
48505,"Zapata County, Texas",14308,4178,2432,3005,558
48507,"Zavala County, Texas",12060,3546,2050,2689,687
